Price,Model,km_driven,Fuel,Owner,Year,Company
425000,Hyundai Elite i20ASTA,107697,CNG,3,2015,Hyundai
1200000,Hyundai CretaSX 1.5,43737,Petrol,2,2022,Hyundai
643000,Nissan MAGNITEXV MT,22904,Petrol,1,2023,Nissan
480000,Honda Jazz1.2L I-VTEC,30871,Petrol,1,2018,Honda
1087000,MG HECTORSHARP 2.0,90189,Diesel,1,2019,MG
775000,Hyundai VENUESX 1.0,29582,Petrol,2,2020,Hyundai
690000,Hyundai VENUES+ 1.2,42123,Petrol,1,2021,Hyundai
500000,Honda City1.5L I-VTEC,95243,Petrol,1,2015,Honda
890000,Skoda SLAVIAACTIVE 1.0L,15458,Petrol,1,2023,Skoda
811999,Honda City1.5L I-VTEC,21133,Petrol,1,2019,Honda
624000,Hyundai NEW I20ASTA,69137,Petrol,1,2020,Hyundai
385000,Hyundai Elite i20ASTA,86520,Petrol,2,2014,Hyundai
898000,Maruti BREZZAZXI SMART,14052,Petrol,1,2022,Maruti
776000,Hyundai VENUESX 1.0,37777,Petrol,1,2021,Hyundai
1060000,MG HECTORSHARP HYBRID,47595,Petrol,1,2019,MG
905000,Hyundai CretaSX 1.6,122617,Diesel,1,2018,Hyundai
1409000,KIA SELTOSGTX PLUS,38308,Diesel,1,2021,KIA
389000,Hyundai Grand i10ASTA,81825,Petrol,1,2015,Hyundai
1078000,Skoda SLAVIASTYLE 1.0L,33023,Petrol,2,2022,Skoda
1110000,Mahindra TharLX PETROL,46649,Petrol,1,2021,Mahindra
649000,Tata ALTROZXT PETROL,33332,Petrol,1,2022,Tata
643000,Ford EcosportTITANIUM +,36886,Petrol,1,2018,Ford
626000,Honda WR-V1.2L I-VTEC,33483,Petrol,1,2018,Honda
889000,Jeep CompassLIMITED (O),57976,Petrol,1,2018,Jeep
1479000,MG HECTORSHARP 1.5,16490,Petrol,1,2022,MG
730000,Maruti CiazALPHA 1.5,28851,Petrol,1,2021,Maruti
245000,Hyundai i10MAGNA 1.1,92160,Petrol,1,2014,Hyundai
755000,Jeep CompassLIMITED 1.4,108371,Petrol,1,2017,Jeep
703000,Tata NEXONXM DIESEL,84168,Diesel,1,2021,Tata
415000,Honda Amaze1.2L I-VTEC,90938,Petrol,1,2016,Honda
1479000,MG HECTORSHARP 1.5,17638,Petrol,1,2022,MG
330000,Hyundai Grand i10MAGNA,56947,Petrol,2,2015,Hyundai
1648999,Tata HarrierXZ PLUS,23705,Diesel,1,2022,Tata
298000,Honda BrioS MT,114928,CNG,1,2014,Honda
782000,Maruti CiazALPHA AT,35684,Petrol,1,2022,Maruti
1279000,MG HECTORSHARP 1.5,24499,Petrol,2,2021,MG
616000,Maruti BalenoZETA PETROL,35922,Petrol,1,2022,Maruti
480999,Tata TiagoXZA PLUS,23516,Petrol,2,2021,Tata
411000,Hyundai Grand i10SPORTZ,91275,CNG,1,2017,Hyundai
873000,Mahindra XUV300W8(O) 1.2,11750,Petrol,1,2022,Mahindra
649000,Tata ALTROZXT PETROL,33332,Petrol,1,2022,Tata
643000,Ford EcosportTITANIUM +,36886,Petrol,1,2018,Ford
626000,Honda WR-V1.2L I-VTEC,33483,Petrol,1,2018,Honda
889000,Jeep CompassLIMITED (O),57976,Petrol,1,2018,Jeep
1479000,MG HECTORSHARP 1.5,16490,Petrol,1,2022,MG
730000,Maruti CiazALPHA 1.5,28851,Petrol,1,2021,Maruti
245000,Hyundai i10MAGNA 1.1,92160,Petrol,1,2014,Hyundai
755000,Jeep CompassLIMITED 1.4,108371,Petrol,1,2017,Jeep
703000,Tata NEXONXM DIESEL,84168,Diesel,1,2021,Tata
415000,Honda Amaze1.2L I-VTEC,90938,Petrol,1,2016,Honda
1479000,MG HECTORSHARP 1.5,17638,Petrol,1,2022,MG
330000,Hyundai Grand i10MAGNA,56947,Petrol,2,2015,Hyundai
1648999,Tata HarrierXZ PLUS,23705,Diesel,1,2022,Tata
298000,Honda BrioS MT,114928,CNG,1,2014,Honda
782000,Maruti CiazALPHA AT,35684,Petrol,1,2022,Maruti
1279000,MG HECTORSHARP 1.5,24499,Petrol,2,2021,MG
616000,Maruti BalenoZETA PETROL,35922,Petrol,1,2022,Maruti
480999,Tata TiagoXZA PLUS,23516,Petrol,2,2021,Tata
411000,Hyundai Grand i10SPORTZ,91275,CNG,1,2017,Hyundai
873000,Mahindra XUV300W8(O) 1.2,11750,Petrol,1,2022,Mahindra
486000,Maruti BalenoALPHA PETROL,75096,Petrol,1,2017,Maruti
269000,Maruti Wagon R,53270,Petrol,2,2014,Maruti
575000,Hyundai Verna1.6 CRDI,118485,Diesel,1,2016,Hyundai
1118000,Hyundai CretaS 1.5,14146,Petrol,1,2021,Hyundai
1475000,Tata HarrierXZA PLUS,49468,Diesel,1,2021,Tata
490000,Maruti IGNISDELTA 1.2,25894,Petrol,1,2023,Maruti
493000,Hyundai GRAND I10,38495,Petrol,2,2020,Hyundai
700000,Maruti BalenoZETA PETROL,25776,Petrol,1,2022,Maruti
451000,Tata TiagoXT PETROL,43241,Petrol,1,2021,Tata
445000,Volkswagen PoloCOMFORTLINE 1.0L,68475,Petrol,1,2018,Volkswagen
1030000,Maruti BREZZAVXI S-CNG,23817,CNG,1,2024,Maruti
831000,Mahindra XUV300W6 1.5,40055,Diesel,1,2021,Mahindra
610000,Hyundai Elite i20SPORTZ,59460,Petrol,1,2020,Hyundai
520000,Maruti CelerioZXI,20233,Petrol,1,2022,Maruti
373000,Maruti AltoLXI O,48769,Petrol,1,2021,Maruti
332000,Hyundai Grand i10MAGNA,79098,Petrol,1,2015,Hyundai
512000,Hyundai Grand i10ASTA,32628,Petrol,1,2015,Hyundai
376000,Maruti AltoLXI O,12935,Petrol,1,2023,Maruti
534000,Maruti Alto K10VXI,24419,CNG,1,2024,Maruti
1010000,Maruti ErtigaVXI AT,13600,Petrol,2,2023,Maruti
642000,Hyundai Elite i20SPORTZ,51583,CNG,1,2019,Hyundai
1137000,Maruti Grand VitaraALPHA,55398,Petrol,1,2022,Maruti
417000,Maruti New Wagon-RZXI,45764,Petrol,1,2019,Maruti
552000,Maruti BalenoZETA PETROL,94048,Petrol,1,2020,Maruti
538000,Hyundai Elite i20SPORTZ,84379,Diesel,1,2017,Hyundai
972000,Hyundai VENUES (O),18104,Petrol,1,2023,Hyundai
415000,Maruti New Wagon-RVXI,89587,Petrol,1,2020,Maruti
